year,scenario,scenario_name,anomaly,tas
2015,ssp126,SSP1-2.6 (Low),0.0,14.0
2016,ssp126,SSP1-2.6 (Low),0.0046542172946217875,14.004654217294622
2017,ssp126,SSP1-2.6 (Low),0.011460027241533055,14.011460027241533
2018,ssp126,SSP1-2.6 (Low),0.019413519968214388,14.019413519968214
2019,ssp126,SSP1-2.6 (Low),0.028217897030385686,14.028217897030386
2020,ssp126,SSP1-2.6 (Low),0.03771443980484612,14.037714439804846
2021,ssp126,SSP1-2.6 (Low),0.047801693304455384,14.047801693304455
2022,ssp126,SSP1-2.6 (Low),0.05840823834431852,14.058408238344319
2023,ssp126,SSP1-2.6 (Low),0.06948061257060267,14.069480612570603
2024,ssp126,SSP1-2.6 (Low),0.08097704376455184,14.080977043764552
2025,ssp126,SSP1-2.6 (Low),0.09286384373633894,14.092863843736339
2026,ssp126,SSP1-2.6 (Low),0.10511317305134149,14.105113173051341
2027,ssp126,SSP1-2.6 (Low),0.11770157532041381,14.117701575320414
2028,ssp126,SSP1-2.6 (Low),0.13060897272549532,14.130608972725495
2029,ssp126,SSP1-2.6 (Low),0.1438179526618537,14.143817952661854
2030,ssp126,SSP1-2.6 (Low),0.15731324600756835,14.157313246007568
2031,ssp126,SSP1-2.6 (Low),0.1710813360041623,14.171081336004162
2032,ssp126,SSP1-2.6 (Low),0.185110158816002,14.185110158816002
2033,ssp126,SSP1-2.6 (Low),0.1993888700798312,14.199388870079831
2034,ssp126,SSP1-2.6 (Low),0.21390765999901795,14.213907659999018
2035,ssp126,SSP1-2.6 (Low),0.22865760483546005,14.22865760483546
2036,ssp126,SSP1-2.6 (Low),0.2436305461535131,14.243630546153513
2037,ssp126,SSP1-2.6 (Low),0.258818991542233,14.258818991542233
2038,ssp126,SSP1-2.6 (Low),0.2742160321838458,14.274216032183846
2039,ssp126,SSP1-2.6 (Low),0.28981527379524685,14.289815273795247
2040,ssp126,SSP1-2.6 (Low),0.30561077830148164,14.305610778301482
2041,ssp126,SSP1-2.6 (Low),0.32159701420742337,14.321597014207423
2042,ssp126,SSP1-2.6 (Low),0.33776881408329196,14.337768814083292
2043,ssp126,SSP1-2.6 (Low),0.35412133791668765,14.354121337916688
2044,ssp126,SSP1-2.6 (Low),0.3706500413395517,14.370650041339552
2045,ssp126,SSP1-2.6 (Low),0.38735064793474727,14.387350647934747
2046,ssp126,SSP1-2.6 (Low),0.4042191249790239,14.404219124979024
2047,ssp126,SSP1-2.6 (Low),0.4212516620982161,14.421251662098216
2048,ssp126,SSP1-2.6 (Low),0.4384446524043817,14.438444652404382
2049,ssp126,SSP1-2.6 (Low),0.45579467575942445,14.455794675759424
2050,ssp126,SSP1-2.6 (Low),0.4732984838696179,14.473298483869618
2051,ssp126,SSP1-2.6 (Low),0.4909529869638778,14.490952986963878
2052,ssp126,SSP1-2.6 (Low),0.5087552418479611,14.508755241847961
2053,ssp126,SSP1-2.6 (Low),0.5267024411589514,14.526702441158951
2054,ssp126,SSP1-2.6 (Low),0.5447919036708431,14.544791903670843
2055,ssp126,SSP1-2.6 (Low),0.563021065524012,14.563021065524012
2056,ssp126,SSP1-2.6 (Low),0.5813874722694692,14.58138747226947
2057,ssp126,SSP1-2.6 (Low),0.5998887716341397,14.59988877163414
2058,ssp126,SSP1-2.6 (Low),0.6185227069261021,14.618522706926102
2059,ssp126,SSP1-2.6 (Low),0.6372871110095701,14.63728711100957
2060,ssp126,SSP1-2.6 (Low),0.6561799007884996,14.6561799007885
2061,ssp126,SSP1-2.6 (Low),0.6751990721455012,14.675199072145501
2062,ssp126,SSP1-2.6 (Low),0.6943426952893503,14.69434269528935
2063,ssp126,SSP1-2.6 (Low),0.7136089104700911,14.713608910470091
2064,ssp126,SSP1-2.6 (Low),0.7329959240256017,14.732995924025602
2065,ssp126,SSP1-2.6 (Low),0.7525020047277238,14.752502004727724
2066,ssp126,SSP1-2.6 (Low),0.7721254803996853,14.772125480399685
2067,ssp126,SSP1-2.6 (Low),0.7918647347797503,14.79186473477975
2068,ssp126,SSP1-2.6 (Low),0.8117182046087468,14.811718204608747
2069,ssp126,SSP1-2.6 (Low),0.8316843769215652,14.831684376921565
2070,ssp126,SSP1-2.6 (Low),0.8517617865248219,14.851761786524822
2071,ssp126,SSP1-2.6 (Low),0.8719490136447146,14.871949013644715
2072,ssp126,SSP1-2.6 (Low),0.8922446817307588,14.892244681730759
2073,ssp126,SSP1-2.6 (Low),0.912647455402503,14.912647455402503
2074,ssp126,SSP1-2.6 (Low),0.9331560385276099,14.93315603852761
2075,ssp126,SSP1-2.6 (Low),0.9537691724207935,14.953769172420794
2076,ssp126,SSP1-2.6 (Low),0.9744856341541386,14.974485634154139
2077,ssp126,SSP1-2.6 (Low),0.9953042349701917,14.995304234970192
2078,ssp126,SSP1-2.6 (Low),1.0162238187899888,15.016223818789989
2079,ssp126,SSP1-2.6 (Low),1.0372432608089586,15.037243260808959
2080,ssp126,SSP1-2.6 (Low),1.058361466174194,15.058361466174194
2081,ssp126,SSP1-2.6 (Low),1.0795773687372172,15.079577368737217
2082,ssp126,SSP1-2.6 (Low),1.1008899298768302,15.10088992987683
2083,ssp126,SSP1-2.6 (Low),1.122298137387146,15.122298137387146
2084,ssp126,SSP1-2.6 (Low),1.1438010044262512,15.143801004426251
2085,ssp126,SSP1-2.6 (Low),1.1653975685213958,15.165397568521396
2086,ssp126,SSP1-2.6 (Low),1.1870868906268814,15.187086890626881
2087,ssp126,SSP1-2.6 (Low),1.2088680542311536,15.208868054231154
2088,ssp126,SSP1-2.6 (Low),1.230740164509891,15.230740164509891
2089,ssp126,SSP1-2.6 (Low),1.2527023475221188,15.252702347522119
2090,ssp126,SSP1-2.6 (Low),1.2747537494465924,15.274753749446592
2091,ssp126,SSP1-2.6 (Low),1.2968935358559435,15.296893535855943
2092,ssp126,SSP1-2.6 (Low),1.3191208910262429,15.319120891026243
2093,ssp126,SSP1-2.6 (Low),1.3414350172798013,15.341435017279801
2094,ssp126,SSP1-2.6 (Low),1.3638351343592117,15.363835134359212
2095,ssp126,SSP1-2.6 (Low),1.3863204788307772,15.386320478830777
2096,ssp126,SSP1-2.6 (Low),1.4088903035155713,15.408890303515571
2097,ssp126,SSP1-2.6 (Low),1.4315438769465576,15.431543876946558
2098,ssp126,SSP1-2.6 (Low),1.4542804828502298,15.45428048285023
2099,ssp126,SSP1-2.6 (Low),1.477099419651429,15.477099419651429
2100,ssp126,SSP1-2.6 (Low),1.5,15.5
2015,ssp245,SSP2-4.5 (Medium),0.0,14.0
2016,ssp245,SSP2-4.5 (Medium),0.008377591130317441,14.008377591130317
2017,ssp245,SSP2-4.5 (Medium),0.02062804903475879,14.020628049034759
2018,ssp245,SSP2-4.5 (Medium),0.0349443359427859,14.034944335942786
2019,ssp245,SSP2-4.5 (Medium),0.0507922146546953,14.050792214654695
2020,ssp245,SSP2-4.5 (Medium),0.06788599164872267,14.067885991648723
2021,ssp245,SSP2-4.5 (Medium),0.08604304794801898,14.086043047948019
2022,ssp245,SSP2-4.5 (Medium),0.10513482901977333,14.105134829019773
2023,ssp245,SSP2-4.5 (Medium),0.1250651026270866,14.125065102627087
2024,ssp245,SSP2-4.5 (Medium),0.1457586787761933,14.145758678776193
2025,ssp245,SSP2-4.5 (Medium),0.16715491872541044,14.16715491872541
2026,ssp245,SSP2-4.5 (Medium),0.18920371149241433,14.189203711492414
2027,ssp245,SSP2-4.5 (Medium),0.21186283557674557,14.211862835576746
2028,ssp245,SSP2-4.5 (Medium),0.23509615090589087,14.23509615090589
2029,ssp245,SSP2-4.5 (Medium),0.25887231479133455,14.258872314791335
2030,ssp245,SSP2-4.5 (Medium),0.28316384281362517,14.283163842813625
2031,ssp245,SSP2-4.5 (Medium),0.30794640480749,14.30794640480749
2032,ssp245,SSP2-4.5 (Medium),0.3331982858688054,14.333198285868805
2033,ssp245,SSP2-4.5 (Medium),0.358899966143694,14.358899966143694
2034,ssp245,SSP2-4.5 (Medium),0.38503378799823373,14.385033787998234
2035,ssp245,SSP2-4.5 (Medium),0.41158368870382667,14.411583688703827
2036,ssp245,SSP2-4.5 (Medium),0.438534983076325,14.438534983076325
2037,ssp245,SSP2-4.5 (Medium),0.4658741847760197,14.46587418477602
2038,ssp245,SSP2-4.5 (Medium),0.4935888579309218,14.493588857930922
2039,ssp245,SSP2-4.5 (Medium),0.521667492831444,14.521667492831444
2040,ssp245,SSP2-4.5 (Medium),0.5500994009426687,14.550099400942669
2041,ssp245,SSP2-4.5 (Medium),0.5788746255733628,14.578874625573363
2042,ssp245,SSP2-4.5 (Medium),0.6079838653499259,14.607983865349926
2043,ssp245,SSP2-4.5 (Medium),0.6374184082500385,14.637418408250038
2044,ssp245,SSP2-4.5 (Medium),0.6671700744111941,14.667170074411194
2045,ssp245,SSP2-4.5 (Medium),0.6972311662825437,14.697231166282544
2046,ssp245,SSP2-4.5 (Medium),0.727594424962243,14.727594424962243
2047,ssp245,SSP2-4.5 (Medium),0.7582529917767893,14.75825299177679
2048,ssp245,SSP2-4.5 (Medium),0.789200374327887,14.789200374327887
2049,ssp245,SSP2-4.5 (Medium),0.820430416366964,14.820430416366964
2050,ssp245,SSP2-4.5 (Medium),0.8519372709653101,14.85193727096531
2051,ssp245,SSP2-4.5 (Medium),0.8837153765349779,14.883715376534978
2052,ssp245,SSP2-4.5 (Medium),0.915759435326331,14.915759435326331
2053,ssp245,SSP2-4.5 (Medium),0.9480643940861118,14.948064394086112
2054,ssp245,SSP2-4.5 (Medium),0.9806254266075172,14.980625426607517
2055,ssp245,SSP2-4.5 (Medium),1.0134379179432198,15.01343791794322
2056,ssp245,SSP2-4.5 (Medium),1.0464974500850435,15.046497450085043
2057,ssp245,SSP2-4.5 (Medium),1.0797997889414503,15.07979978894145
2058,ssp245,SSP2-4.5 (Medium),1.113340872466983,15.113340872466983
2059,ssp245,SSP2-4.5 (Medium),1.1471167998172263,15.147116799817226
2060,ssp245,SSP2-4.5 (Medium),1.1811238214193,15.1811238214193
2061,ssp245,SSP2-4.5 (Medium),1.2153583298619015,15.215358329861902
2062,ssp245,SSP2-4.5 (Medium),1.2498168515208299,15.24981685152083
2063,ssp245,SSP2-4.5 (Medium),1.2844960388461626,15.284496038846163
2064,ssp245,SSP2-4.5 (Medium),1.3193926632460826,15.319392663246083
2065,ssp245,SSP2-4.5 (Medium),1.3545036085099014,15.354503608509901
2066,ssp245,SSP2-4.5 (Medium),1.389825864719434,15.389825864719434
2067,ssp245,SSP2-4.5 (Medium),1.4253565226035523,15.425356522603552
2068,ssp245,SSP2-4.5 (Medium),1.461092768295746,15.461092768295746
2069,ssp245,SSP2-4.5 (Medium),1.4970318784588184,15.497031878458818
2070,ssp245,SSP2-4.5 (Medium),1.5331712157446802,15.53317121574468
2071,ssp245,SSP2-4.5 (Medium),1.5695082245604866,15.569508224560487
2072,ssp245,SSP2-4.5 (Medium),1.6060404271153654,15.606040427115365
2073,ssp245,SSP2-4.5 (Medium),1.6427654197245065,15.642765419724507
2074,ssp245,SSP2-4.5 (Medium),1.6796808693496992,15.6796808693497
2075,ssp245,SSP2-4.5 (Medium),1.716784510357428,15.716784510357428
2076,ssp245,SSP2-4.5 (Medium),1.7540741414774512,15.754074141477451
2077,ssp245,SSP2-4.5 (Medium),1.7915476229463447,15.791547622946345
2078,ssp245,SSP2-4.5 (Medium),1.8292028738219788,15.829202873821979
2079,ssp245,SSP2-4.5 (Medium),1.8670378694561247,15.867037869456125
2080,ssp245,SSP2-4.5 (Medium),1.9050506391135489,15.905050639113549
2081,ssp245,SSP2-4.5 (Medium),1.9432392637269906,15.94323926372699
2082,ssp245,SSP2-4.5 (Medium),1.9816018737782954,15.981601873778295
2083,ssp245,SSP2-4.5 (Medium),2.0201366472968623,16.020136647296862
2084,ssp245,SSP2-4.5 (Medium),2.0588418079672515,16.05884180796725
2085,ssp245,SSP2-4.5 (Medium),2.0977156233385124,16.097715623338512
2086,ssp245,SSP2-4.5 (Medium),2.1367564031283877,16.136756403128388
2087,ssp245,SSP2-4.5 (Medium),2.1759624976160765,16.175962497616077
2088,ssp245,SSP2-4.5 (Medium),2.215332296117804,16.215332296117804
2089,ssp245,SSP2-4.5 (Medium),2.2548642255398157,16.254864225539816
2090,ssp245,SSP2-4.5 (Medium),2.294556749003867,16.294556749003867
2091,ssp245,SSP2-4.5 (Medium),2.3344083645406997,16.3344083645407
2092,ssp245,SSP2-4.5 (Medium),2.374417603847238,16.374417603847238
2093,ssp245,SSP2-4.5 (Medium),2.4145830311036427,16.414583031103643
2094,ssp245,SSP2-4.5 (Medium),2.45490324184658,16.45490324184658
2095,ssp245,SSP2-4.5 (Medium),2.495376861895398,16.495376861895398
2096,ssp245,SSP2-4.5 (Medium),2.536002546328028,16.536002546328028
2097,ssp245,SSP2-4.5 (Medium),2.5767789785038033,16.576778978503803
2098,ssp245,SSP2-4.5 (Medium),2.6177048691304137,16.617704869130414
2099,ssp245,SSP2-4.5 (Medium),2.658778955372572,16.658778955372572
2100,ssp245,SSP2-4.5 (Medium),2.6999999999999993,16.7
2015,ssp585,SSP5-8.5 (High),0.0,14.0
2016,ssp585,SSP5-8.5 (High),0.013962651883863586,14.013962651883864
2017,ssp585,SSP5-8.5 (High),0.03438008172459739,14.034380081724597
2018,ssp585,SSP5-8.5 (High),0.05824055990464494,14.058240559904645
2019,ssp585,SSP5-8.5 (High),0.08465369109115706,14.084653691091157
2020,ssp585,SSP5-8.5 (High),0.11314331941454014,14.11314331941454
2021,ssp585,SSP5-8.5 (High),0.14340507991336437,14.143405079913364
2022,ssp585,SSP5-8.5 (High),0.17522471503295556,14.175224715032956
2023,ssp585,SSP5-8.5 (High),0.2084418377118098,14.20844183771181
2024,ssp585,SSP5-8.5 (High),0.2429311312936573,14.242931131293657
2025,ssp585,SSP5-8.5 (High),0.2785915312090186,14.278591531209019
2026,ssp585,SSP5-8.5 (High),0.3153395191540245,14.315339519154024
2027,ssp585,SSP5-8.5 (High),0.35310472596124143,14.353104725961241
2028,ssp585,SSP5-8.5 (High),0.39182691817648596,14.391826918176486
2029,ssp585,SSP5-8.5 (High),0.43145385798555935,14.43145385798556
2030,ssp585,SSP5-8.5 (High),0.47193973802270683,14.471939738022707
2031,ssp585,SSP5-8.5 (High),0.5132440080124852,14.513244008012485
2032,ssp585,SSP5-8.5 (High),0.5553304764480096,14.55533047644801
2033,ssp585,SSP5-8.5 (High),0.5981666102394918,14.598166610239492
2034,ssp585,SSP5-8.5 (High),0.6417229799970556,14.641722979997056
2035,ssp585,SSP5-8.5 (High),0.6859728145063784,14.685972814506378
2036,ssp585,SSP5-8.5 (High),0.7308916384605411,14.730891638460541
2037,ssp585,SSP5-8.5 (High),0.7764569746266989,14.776456974626699
2038,ssp585,SSP5-8.5 (High),0.8226480965515357,14.822648096551536
2039,ssp585,SSP5-8.5 (High),0.8694458213857406,14.86944582138574
2040,ssp585,SSP5-8.5 (High),0.9168323349044467,14.916832334904447
2041,ssp585,SSP5-8.5 (High),0.9647910426222719,14.964791042622272
2042,ssp585,SSP5-8.5 (High),1.0133064422498776,15.013306442249878
2043,ssp585,SSP5-8.5 (High),1.062364013750063,15.062364013750063
2044,ssp585,SSP5-8.5 (High),1.111950124018657,15.111950124018657
2045,ssp585,SSP5-8.5 (High),1.16205194380424,15.16205194380424
2046,ssp585,SSP5-8.5 (High),1.2126573749370717,15.212657374937072
2047,ssp585,SSP5-8.5 (High),1.2637549862946482,15.263754986294648
2048,ssp585,SSP5-8.5 (High),1.315333957213145,15.315333957213145
2049,ssp585,SSP5-8.5 (High),1.3673840272782734,15.367384027278273
2050,ssp585,SSP5-8.5 (High),1.419895451608852,15.419895451608852
2051,ssp585,SSP5-8.5 (High),1.4728589608916316,15.472858960891632
2052,ssp585,SSP5-8.5 (High),1.526265725543885,15.526265725543885
2053,ssp585,SSP5-8.5 (High),1.5801073234768523,15.580107323476852
2054,ssp585,SSP5-8.5 (High),1.6343757110125292,15.63437571101253
2055,ssp585,SSP5-8.5 (High),1.6890631965720342,15.689063196572034
2056,ssp585,SSP5-8.5 (High),1.7441624168084058,15.744162416808406
2057,ssp585,SSP5-8.5 (High),1.7996663149024172,15.799666314902417
2058,ssp585,SSP5-8.5 (High),1.8555681207783064,15.855568120778306
2059,ssp585,SSP5-8.5 (High),1.9118613330287104,15.91186133302871
2060,ssp585,SSP5-8.5 (High),1.9685397023655007,15.9685397023655
2061,ssp585,SSP5-8.5 (High),2.025597216436502,16.025597216436502
2062,ssp585,SSP5-8.5 (High),2.083028085868051,16.08302808586805
2063,ssp585,SSP5-8.5 (High),2.1408267314102716,16.14082673141027
2064,ssp585,SSP5-8.5 (High),2.198987772076805,16.198987772076805
2065,ssp585,SSP5-8.5 (High),2.2575060141831713,16.25750601418317
2066,ssp585,SSP5-8.5 (High),2.3163764411990577,16.316376441199058
2067,ssp585,SSP5-8.5 (High),2.375594204339251,16.37559420433925
2068,ssp585,SSP5-8.5 (High),2.435154613826242,16.435154613826242
2069,ssp585,SSP5-8.5 (High),2.495053130764699,16.4950531307647
2070,ssp585,SSP5-8.5 (High),2.555285359574466,16.555285359574466
2071,ssp585,SSP5-8.5 (High),2.615847040934142,16.615847040934142
2072,ssp585,SSP5-8.5 (High),2.6767340451922763,16.676734045192276
2073,ssp585,SSP5-8.5 (High),2.7379423662075126,16.737942366207513
2074,ssp585,SSP5-8.5 (High),2.799468115582833,16.799468115582833
2075,ssp585,SSP5-8.5 (High),2.8613075172623788,16.86130751726238
2076,ssp585,SSP5-8.5 (High),2.9234569024624193,16.92345690246242
2077,ssp585,SSP5-8.5 (High),2.985912704910575,16.985912704910575
2078,ssp585,SSP5-8.5 (High),3.0486714563699664,17.048671456369966
2079,ssp585,SSP5-8.5 (High),3.111729782426874,17.111729782426874
2080,ssp585,SSP5-8.5 (High),3.175084398522582,17.175084398522582
2081,ssp585,SSP5-8.5 (High),3.23873210621165,17.23873210621165
2082,ssp585,SSP5-8.5 (High),3.3026697896304924,17.302669789630492
2083,ssp585,SSP5-8.5 (High),3.366894412161436,17.366894412161436
2084,ssp585,SSP5-8.5 (High),3.4314030132787536,17.431403013278754
2085,ssp585,SSP5-8.5 (High),3.4961927055641873,17.496192705564187
2086,ssp585,SSP5-8.5 (High),3.561260671880646,17.561260671880646
2087,ssp585,SSP5-8.5 (High),3.626604162693461,17.62660416269346
2088,ssp585,SSP5-8.5 (High),3.6922204935296747,17.692220493529675
2089,ssp585,SSP5-8.5 (High),3.7581070425663583,17.75810704256636
2090,ssp585,SSP5-8.5 (High),3.8242612483397735,17.824261248339774
2091,ssp585,SSP5-8.5 (High),3.8906806075678304,17.89068060756783
2092,ssp585,SSP5-8.5 (High),3.957362673078727,17.957362673078727
2093,ssp585,SSP5-8.5 (High),4.024305051839402,18.024305051839402
2094,ssp585,SSP5-8.5 (High),4.091505403077637,18.091505403077637
2095,ssp585,SSP5-8.5 (High),4.15896143649233,18.15896143649233
